Method,Size,Time
heapsort,10,0
heapsort,20,0
heapsort,40,0
heapsort,80,0
heapsort,160,0
heapsort,320,0
heapsort,640,2.863e-05
heapsort,1280,8.602e-05
heapsort,2560,0.00023747
heapsort,5120,0.0004814
heapsort,10240,0.0010648
heapsort,20480,0.00223813
heapsort,40960,0.00477427
heapsort,81920,0.0100978
heapsort,163840,0.0213355
heapsort,0,0
